BASE_YR,BASE_MM,AGFD_PDLT_NM,PDTN_QY
2020,05,오렌지,13216
2020,05,오이,1164585
2020,05,옥수수,110590
2020,05,완두콩,37890
2020,05,유자,10360
2020,05,인삼,7266
2020,05,잎마늘,852
2020,05,자두,128811
2020,05,자몽,13216
2020,05,쪽파,115458
2020,05,찰옥수수,102569
2020,05,참나물,5526
2020,05,참다래 국산,52707
2020,05,참외,172523
2020,05,청경채,6976
2020,05,청양고추,31077
2020,05,체리,6937
2020,05,취나물,4685
2020,05,츄키니,7592
2020,05,케일,1584
2020,05,콜라비,2410
2020,05,콩나물,285741
2020,05,토마토,2061610
2020,05,토마토(방울),825345
2020,05,파세리,33141
2020,05,파인애플,184048
2020,05,파채,63808
2020,05,파프리카,111740
2020,05,포도,675427
2020,05,풋고추,141092
2020,05,풋옥수수,17120
2020,05,피망,2177
2020,05,호박,661851
2020,05,홍갓,56366
2020,06,가지,806479
2020,06,감,102231
2020,06,감귤,599338
2020,06,감자,1015000
2020,06,갓,5247
2020,06,건가지,969
2020,06,건고추,1976
2020,06,건취나물,1532
2020,06,고구마,1859683
2020,06,고구마순,1532
2020,06,고사리,8315
2020,06,고추,1329721
2020,06,곶감,10776
2020,06,근대,93432
2020,06,기장,3073
2020,06,기타잡곡류,7511
2020,06,깐마늘,287886
2020,06,깐양파,132785
2020,06,깻잎,88063
2020,06,냉이,7076
2020,06,늙은호박,43471
2020,06,다발무,92
2020,06,단감,173008
2020,06,단호박,12481
2020,06,달래,9668
2020,06,당근,1004259
2020,06,대추,51837
2020,06,대파,1251867
2020,06,더덕,3137
2020,06,도라지,15287
2020,06,돈나물,3372
2020,06,돌나물,5111
2020,06,두릅,18408
2020,06,딸기,355332
2020,06,레몬,13455
2020,06,마,16518
2020,06,마늘,656770
2020,06,마늘 쫑,1564
2020,06,매실,3964
2020,06,메론,1363565
2020,06,모둠쌈,75888
2020,06,무,1606780
2020,06,무화과,19324
2020,06,물미역(청과),4912
2020,06,미나리,36680
2020,06,바나나,193415
2020,06,바나나 국산,1768
2020,06,밤,145987
2020,06,방울,17344
2020,06,배,1059480
2020,06,배추,4007986
2020,06,배추얼갈이,74405
2020,06,버섯,1576381
2020,06,보리,3512
2020,06,복수박,241132
2020,06,복숭아,398517
2020,06,부추,81241
2020,06,브로코리,213808
