"자치구 코드","자치구명","전통시장명","주소명","위도","경도"
"5","관악구","서원동상점가","낙성대동 1612일대","37.4794447","126.9556689"
"14","서대문구","서중시장","남가좌동 286-35","37.5712255","126.915782"
"17","성북구","석관시장","석관동 270-1","37.6091553","127.0602914"
"17","성북구","석관황금시장","석관동 279-35 일대","37.6095274","127.0614128"
"18","송파구","석촌시장","석촌동 275-5","37.5005463","127.1077776"
"2","강동구","성내골목시장","성내동 144-16 일대","37.5339855","127.1278144"
"12","동작구","성대시장","상도동 324-1","37.4999554","126.9317392"
"16","성동구","성동용답상가시장","용답동 49-5","37.5636","127.0524367"
"23","종로구","세운상가가동","장사동 116-4","37.5692642","126.9952101"
"24","중구","소공지하도상가","소공동 87","37.564392","126.9799971"
"3","강북구","솔샘시장(미아67동골목시장)","서울 강북구 미아동","37.631765","127.0244275"
"4","강서구","송화골목시장","강서구 내발산동 723-10","37.5487266","126.835716"
"3","강북구","수유북부시장","강북구 수유동 405-5","37.6361825","127.0160658"
"3","강북구","수유시장","수유1동 54-5","37.6307791","127.0229251"
"3","강북구","수유재래시장","수유1동 505354번지일대","37.6335691","127.0217182"
"3","강북구","수유전통시장(구)수유골목시장","수유1동 5354번지일대","37.6316376","127.0218101"
"3","강북구","수유중앙골목시장","수유3동 38번지 일대","37.6414103","127.021061"
"3","강북구","수유중앙시장","수유3동 32-2","37.6403266","127.0212903"
"3","강북구","수유프라자","수유1동 63","37.6317024","127.0234252"
"22","은평구","수일시장","수색동 368-24","37.582871","126.8951696"
"24","중구","숭례문상가","남창동 51-1","37.559404","126.976203"
"3","강북구","숭인시장","미아5동 60-5","37.6132011","127.0294257"
"24","중구","시청광장 지하쇼핑센터","중구 을지로1가 56","37.5662148","126.9796594"
"19","양천구","신곡종합시장","신월6동 575-17","37.5183539","126.8431331"
"20","영등포구","신길시장","신길2동 221-1","37.5111475","126.9105864"
"12","동작구","신노량진시장","노량진동 307-9","37.5082655","126.9393044"
"10","도봉구","신도봉시장","도봉동611","37.6702503","127.0411947"
"20","영등포구","신동시장","신길동259","37.5063342","126.9095388"
"5","관악구","신림종합시장","신사동 505-1","37.5205192","127.0187722"
"5","관악구","신림중앙시장","조원동 541","37.4831492","126.9114671"
"5","관악구","신림현대상가","서림동 1694","37.4748983","126.932346"
"1","강남구","신사상가","압구정동454","37.5322699","127.0283743"
"23","종로구","신설종합시장","숭인동 206-9","37.5726504","127.0203023"
"6","광진구","신성시장","광진구 중곡동 79-13","37.5579689","127.0884519"
"13","마포구","신수시장","신수동 288-1","37.5454167","126.9355466"
"5","관악구","신신림시장","삼성동 390-1","37.470879","126.9321922"
"25","중랑구","신아타운","신내동 666","37.6063993","127.0946663"
"20","영등포구","신영사러가시장","신길동255-9","37.5065156","126.9102021"
"19","양천구","신영시장","신월1동  113-33","37.5332187","126.8354016"
"5","관악구","신원시장(신림1동)","관악구 신원동 1587","37.4831585","126.9263634"
"19","양천구","신월3동 골목시장","신월3동 154","37.5342062","126.8251289"
"19","양천구","신월6동 골목시장","신월6동 574-15","37.5176108","126.8431403"
"19","양천구","신월7동 골목시장","신월7동 921","37.522795","126.8329227"
"4","강서구","신월중앙시장","화곡동 929-1","37.5280534","126.8423446"
"22","은평구","신응암시장","응암동427번지","37.5937172","126.9189607"
"19","양천구","신정1동 골목시장","신정1동 1029","37.5205992","126.8538224"
"19","양천구","신정2동 골목시장","신정2동 127-19","37.5209818","126.8766371"
"19","양천구","신정3동 골목시장","신정3동 1181-16","37.5184502","126.8526811"
"19","양천구","신정제일시장","신정1동 1030-6","37.5208052","126.8536649"
"24","중구","신중부시장","오장동 44-12","37.5655557","126.9994618"
"24","중구","신평화패션타운","신당동 217","37.5694151","127.0115539"
"21","용산구","신흥시장","용산동2가 1-480","37.5452591","126.9850373"
"10","도봉구","쌍문역골목시장","쌍문동 94-29","37.6483532","127.0329504"
"5","관악구","쑥고개 시장(봉천8동)","청룡동 1545 일대","37.4785883","126.94158"
"17","성북구","아리랑시장","정릉동966-56","37.6026278","127.0128066"
"13","마포구","아현골목시장","아현동 327일대","37.5567398","126.9554835"
"2","강동구","암사종합시장","암사동 501-17 일대","37.5508488","127.1287687"
"24","중구","약수시장","신당3동 372-40","37.5533091","127.010844"
