BASE_YR,BASE_MM,AGFD_PDLT_NM,STRGE_QY
2020,10,배,218880
2020,10,배추,263590
2020,10,배추얼갈이,24033
2020,10,버섯,486462
2020,10,보리,2741
2020,10,복수박,74600
2020,10,복숭아,111760
2020,10,부추,31319
2020,10,브로코리,42152
2020,10,브로콜리,18317
2020,10,블루베리,1599
2020,10,비트,60358
2020,10,빨간양배추,4135
2020,10,사과,668978
2020,10,산딸기,5713
2020,10,상추,65067
2020,10,새싹채소,318
2020,10,생강,5432
2020,10,석류,3443
2020,10,세러리,222
2020,10,수박,911164
2020,10,수입과일,259382
2020,10,숙주,19616
2020,10,시금치,139391
2020,10,신선초,222
2020,10,쌈채,3354
2020,10,쌈추,2915
2020,10,쑥갓,377
2020,10,아욱,2
2020,10,애플수박,371
2020,10,애호박,163082
2020,10,양배추,325012
2020,10,양상추,92014
2020,10,양파,658553
2020,10,얼갈이,2109
2020,10,연근,375
2020,10,열무,16674
2020,10,열무 얼갈이,22395
2020,10,오디 국산,322
2020,10,오렌지,3443
2020,10,오이,241952
2020,10,완두콩,23915
2020,10,우엉,4280
2020,10,인삼,679
2020,10,잎마늘,175
2020,10,자두,35606
2020,10,자몽,3443
2020,10,적양배추,389
2020,10,쪽파,17106
