NTN_CODE,YR_INFO_CN,BASE_MM,BSIS_IVTY_QY,PDTN_QY,IMPT_QY,EPOT_QY,CSP_QY,TMED_IVTY_QY,DMTC_CSP_QY,SPLY_QY,PDLT_CODE,PDLT_NM,MDFCN_YMD,ETL_LDG_DT
097,2012/13,03,5.09,36.9,0.8,0,40,2.79,0,0,0101,½Ò,20130411,20210419165432
097,2012/13,04,5.09,37.5,0.8,0,40,3.39,0,0,0101,½Ò,20130411,20210419165432
169,2012/13,03,1.81,10.99,1.5,0,12.97,1.33,0,0,0101,½Ò,20130411,20210419165432
169,2012/13,04,1.81,11.35,1.5,0,12.93,1.73,0,0,0101,½Ò,20130411,20210419165432
046,2012/13,03,45.02,143,2.4,0.3,144,46.12,0,0,0101,½Ò,20130411,20210419165432
046,2012/13,04,45.02,143,2.4,0.3,144,46.12,0,0,0101,½Ò,20130411,20210419165432
062,2012/13,03,0.49,4.7,0.05,0.85,3.9,0.49,0,0,0101,½Ò,20130411,20210419165432
062,2012/13,04,0.49,4.7,0.05,0.85,3.9,0.49,0,0,0101,½Ò,20130411,20210419165432
100,2013/14,05,24,108,0,8.5,98.5,25,0,0,0101,½Ò,20130515,20210419165432
170,2013/14,05,0.9,6.2,0,3.2,2.7,1.2,0,0,0101,½Ò,20130515,20210419165432
206,2013/14,05,11.63,21.1,0.6,8.5,10.6,14.23,0,0,0101,½Ò,20130515,20210419165432
229,2013/14,05,2.08,27.85,0.1,7.7,20.6,1.73,0,0,0101,½Ò,20130515,20210419165432
097,2013/14,05,4.09,37.7,1.5,0,40.3,2.99,0,0,0101,½Ò,20130515,20210419165432
169,2013/14,05,1.43,11.7,1.2,0,12.93,1.41,0,0,0101,½Ò,20130515,20210419165432
046,2013/14,05,46.62,144,3,0.2,147,46.42,0,0,0101,½Ò,20130515,20210419165432
062,2013/14,05,0.46,4.85,0.03,0.85,4,0.49,0,0,0101,½Ò,20130515,20210419165432
229,2011/12,12,1.94,27.08,0.1,7.5,19.85,1.77,0,0,0101,½Ò,20130122,20210419165432
062,2011/12,12,0.12,4.25,0.55,0.6,3.62,0.7,0,0,0101,½Ò,20130122,20210419165432
169,2011/12,12,2.46,10.7,1.5,0,12.85,1.81,0,0,0101,½Ò,20130122,20210419165432
248,2012/13,11,105.81,464.31,34.29,36.52,467.87,102.25,0,0,0101,½Ò,20130122,20210419165432
248,2012/13,12,105.7,465.34,34.2,36.58,468.51,102.54,0,0,0101,½Ò,20130122,20210419165432
046,2012/13,11,44.95,143,2.4,0.5,144,45.85,0,0,0101,½Ò,20130122,20210419165432
046,2012/13,12,44.95,143,2.4,0.5,144,45.85,0,0,0101,½Ò,20130122,20210419165432
100,2012/13,11,25.1,99,0,7.25,95.25,21.6,0,0,0101,½Ò,20130122,20210419165432
100,2012/13,12,25.1,99,0,7.25,95.25,21.6,0,0,0101,½Ò,20130122,20210419165432
097,2012/13,11,4.83,36.9,1.45,0,40,3.18,0,0,0101,½Ò,20130122,20210419165432
097,2012/13,12,4.83,36.9,1.45,0,40,3.18,0,0,0101,½Ò,20130122,20210419165432
